<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;D;200401;000000;61.62;62.175;59.785;60.225;13519924
AAPL;D;200402;000000;59.9975;61.2875;59.225;61.205;14472452
AAPL;D;200403;000000;60.715;61.425;59.745;60.3575;10069680
AAPL;D;200406;000000;62.725;65.7775;62.3525;65.595;16041116
AAPL;D;200407;000000;67.6975;67.9225;64.75;64.875;16281972
AAPL;D;200408;000000;65.65;66.84;65.31;66.5125;11403896
AAPL;D;200409;000000;67.1725;67.515;66.175;67;14466792
AAPL;D;200413;000000;67.075;68.3975;66.46;68.315;8442612
AAPL;D;200414;000000;70;72.0075;69.5175;71.7575;14091300
AAPL;D;200415;000000;70.59875;71.575;70.1575;71.155;9150616
AAPL;D;200416;000000;71.8275;72.0425;70.5925;71.675;11406588
AAPL;D;200417;000000;71.1725;71.735;69.2175;70.72;15206176
AAPL;D;200421;000000;68.19;68.3725;66.3575;67.125;9101956
AAPL;D;200422;000000;68.43;69.475;68.05;69.0325;7501028
AAPL;D;200423;000000;68.9725;70.4275;68.725;68.725;8646396
AAPL;D;200424;000000;69.3;70.75;69.25;70.725;8479720
AAPL;D;200427;000000;70.46;71.13;69.99;70.8025;7130816
AAPL;D;200428;000000;71.275;71.4475;69.555;69.6175;7832864
AAPL;D;200429;000000;71.1825;72.4175;70.975;71.935;9213920
AAPL;D;200430;000000;72.49;73.6325;72.0925;73.4875;7250476
AAPL;D;200501;000000;71.555;74.75;71.4625;72.3225;19860544
AAPL;D;200504;000000;72.26;73.4225;71.58;73.34;10115900
AAPL;D;200505;000000;73.765;75.25;73.6175;74.455;10528112
AAPL;D;200506;000000;75.12;75.81;74.7175;75.1275;11716692
AAPL;D;200507;000000;75.8125;76.2925;75.5;75.9375;8677908
AAPL;D;200508;000000;76.41;77.57;76.0775;77.5375;10270220
AAPL;D;200511;000000;77.025;79.2625;76.81;78.755;10025640
AAPL;D;200512;000000;79.4575;79.92;77.735;77.8375;12615780
AAPL;D;200513;000000;78.0375;78.985;75.815;76.8425;18824792
AAPL;D;200514;000000;76.095;77.4475;75.395;77.4325;14904836
AAPL;D;200515;000000;75.1;76.975;75.07;76.9225;13344184
AAPL;D;200518;000000;78.2925;79.125;77.5825;78.7375;11217200
AAPL;D;200519;000000;78.7575;79.6275;78.2525;78.2575;9275212
AAPL;D;200520;000000;79.17;79.88;79.055;79.82;10375408
AAPL;D;200521;000000;79.6675;80.2225;78.9675;79.2;9613080
AAPL;D;200522;000000;78.9425;79.8;78.8375;79.7025;7922464
AAPL;D;200526;000000;80.87;81.05;79.125;79.21;9339068
AAPL;D;200527;000000;79.035;79.6625;78.275;79.54;10182420
AAPL;D;200528;000000;79.1925;80.86;78.9225;79.5625;12560652
AAPL;D;200529;000000;79.8125;80.285;79.1225;79.4675;13783204
AAPL;D;200601;000000;79.465;80.5875;79.3075;80.4525;6452848
AAPL;D;200602;000000;80.23;80.86;79.7325;80.855;5728060
AAPL;D;200603;000000;81.175;81.5025;80.5775;81.28;6756544
AAPL;D;200604;000000;81.14;81.405;80.1975;80.5575;5948220
AAPL;D;200605;000000;80.855;82.9375;80.825;82.85;10614612
AAPL;D;200608;000000;82.585;83.3975;81.835;83.37;5617904
AAPL;D;200609;000000;83.0275;86.4;83.0025;85.955;9382648
AAPL;D;200610;000000;87.0125;88.69;86.525;88.2225;12512768
AAPL;D;200611;000000;87.32;87.76;83.87;83.9625;13081804
AAPL;D;200612;000000;86.18;86.95;83.5625;84.6325;12362652
AAPL;D;200615;000000;83.315;86.25;83.145;85.7675;7633300
AAPL;D;200616;000000;87.865;88.3;86.1925;88.065;10032824
AAPL;D;200617;000000;88.7875;88.825;87.81;87.81;7199896
AAPL;D;200618;000000;87.8775;88.3575;87.31;87.855;5876672
AAPL;D;200619;000000;88.66;89.14;86.2875;87.375;13811080
AAPL;D;200622;000000;87.825;89.8625;87.805;89.715;6678812
AAPL;D;200623;000000;91.005;93.095;90.575;91.6375;9459920
AAPL;D;200624;000000;91.26;92.185;89.6325;89.98;8973296
AAPL;D;200625;000000;90.1375;91.25;89.4;91.2125;7945424
AAPL;D;200626;000000;91.1475;91.3225;88.2575;88.3575;10314616
AAPL;D;200629;000000;88.375;90.5375;87.82;90.5075;7182804
AAPL;D;200630;000000;90.02;91.495;90;91.1225;6218508
AAPL;D;200701;000000;91.28;91.84;90.9775;91.0275;6347184
AAPL;D;200702;000000;91.94;92.615;90.9325;91.03;6271704
AAPL;D;200706;000000;92.4825;93.945;92.4675;93.4525;5596996
AAPL;D;200707;000000;93.9025;94.65;93.0575;93.165;5896004
AAPL;D;200708;000000;94.1875;95.365;94.105;95.3225;5939740
AAPL;D;200709;000000;96.2725;96.29;94.6725;95.6475;6860236
AAPL;D;200710;000000;95.335;95.9725;94.7075;95.905;5091168
AAPL;D;200713;000000;97.295;99.955;95.2575;95.4775;9241244
AAPL;D;200714;000000;94.86;97.25;93.8775;97.055;9110476
AAPL;D;200715;000000;98.99;99.245;96.5;97.7575;7633560
AAPL;D;200716;000000;96.555;97.4;95.905;96.5575;5933216
AAPL;D;200717;000000;96.8775;97.105;95.8675;96.295;4448720
AAPL;D;200720;000000;96.43;98.48;96.0725;98.3525;5522604
AAPL;D;200721;000000;99.1875;99.1875;96.76;97.0125;5248356
AAPL;D;200722;000000;96.7375;97.9675;96.605;97.2725;4393324
AAPL;D;200723;000000;96.9775;97.0625;92.0225;92.86;9585332
AAPL;D;200724;000000;90.9875;92.97;89.24;92.6125;10257488
AAPL;D;200727;000000;93.7375;94.9;93.4875;94.81;4766564
AAPL;D;200728;000000;94.265;94.5425;93.2525;93.255;3485232
AAPL;D;200729;000000;93.7875;95.225;93.7875;95.065;3052956
AAPL;D;200730;000000;94.1875;96.2875;93.7675;96.22;4949936
AAPL;D;200731;000000;102.88375;106.41;100.8325;106.255;17113332
AAPL;D;200803;000000;108.1925;111.63;107.8925;108.895;11471752
AAPL;D;200804;000000;109.16;110.77;108.3975;109.6325;5449484
AAPL;D;200805;000000;109.425;110.38;108.91;110.1075;4569592
AAPL;D;200806;000000;110.4375;114.4125;110.085;113.945;7408812
AAPL;D;200807;000000;113.225;113.4825;110.305;111.11;8781064
AAPL;D;200810;000000;112.56;113.7725;110;112.72;7038504
AAPL;D;200811;000000;111.9925;112.4575;109.125;109.36;6012512
AAPL;D;200812;000000;110.475;113.275;110.3;113.06;5567736
AAPL;D;200813;000000;114.4425;116.0375;113.935;114.9275;7501340
AAPL;D;200814;000000;114.82875;114.99;113.0475;114.9675;5650056
AAPL;D;200817;000000;116.0675;116.07;113.975;114.585;3529520
AAPL;D;200818;000000;114.36;116;114.025;115.525;4048128
AAPL;D;200819;000000;115.985;117.1575;115.615;115.665;6140232
AAPL;D;200820;000000;115.75;118.39;115.75;118.2125;5266276
AAPL;D;200821;000000;119.26;124.8675;119.25;124.35;16419496
AAPL;D;200824;000000;128.685;128.78;123.9475;125.9425;10975996
AAPL;D;200825;000000;124.6775;125.175;123.065;124.875;7569212
AAPL;D;200826;000000;126.195;126.9875;125.1025;126.58;5351092
AAPL;D;200827;000000;127.125;127.485;123.84;125.0425;6134036
AAPL;D;200828;000000;126.0025;126.4425;124.58125;124.795;7369700
AAPL;D;200831;000000;127.5;131;126.35;128.76;8529816
AAPL;D;200901;000000;132.76;134.79;130.53;134.27;5306441
AAPL;D;200902;000000;137.54;137.94;127;131.49;7026127
AAPL;D;200903;000000;127;128.83;120.5;120.93;11098247
AAPL;D;200904;000000;120.14;123.66;110.92;120.93;14301208
AAPL;D;200908;000000;114.23;118.98;112.68;112.83;10102103
AAPL;D;200909;000000;117.22;119.13;115.31;117.18;6694729
AAPL;D;200910;000000;120.46;120.49;112.5;113.41;7778580
AAPL;D;200911;000000;114.61;115.22;110.03;111.96;8101585
AAPL;D;200914;000000;114.7;115.91;112.81;115.35;5316167
AAPL;D;200915;000000;118.42;118.79;113.61;115.54;6732024
AAPL;D;200916;000000;115.23;116;112.05;112.05;5726695
AAPL;D;200917;000000;109.64;112.19;108.75;110.34;7419896
AAPL;D;200918;000000;110.38;110.86;106.09;106.7;8766645
AAPL;D;200921;000000;104.51;110.17;103.11;110.13;7224980
AAPL;D;200922;000000;112.68;112.85;109.18;111.81;6674363
AAPL;D;200923;000000;111.65;112.1;106.78;107.17;5808889
AAPL;D;200924;000000;105.14;110.24;105;108.11;5938779
AAPL;D;200925;000000;108.43;112.44;107.69;112.22;6192190
AAPL;D;200928;000000;115.01;115.31;112.78;115;5704520
AAPL;D;200929;000000;114.55;115.3;113.58;114.1;3745371
AAPL;D;200930;000000;113.77;117.24;113.66;115.63;5945267
AAPL;D;201001;000000;117.64;117.7;115.84;116.78;4565974
AAPL;D;201002;000000;112.85;115.37;112.23;113.01;6897387
AAPL;D;201005;000000;113.93;116.65;113.56;116.58;3685283
AAPL;D;201006;000000;115.74;116.11;112.25;113.12;6637082
AAPL;D;201007;000000;114.6;115.5;114.13;115.1;3687782
AAPL;D;201008;000000;116.27;116.4;114.6;114.93;3258960
AAPL;D;201009;000000;115.28;117;114.92;116.99;5557908
AAPL;D;201012;000000;120.07;125.18;119.3;124.3;10232787
AAPL;D;201013;000000;125.27;125.39;119.7;121.05;10224301
AAPL;D;201014;000000;121;123.02;119.62;121.18;6236005
AAPL;D;201015;000000;118.71;121.2;118.15;120.71;4523269
AAPL;D;201016;000000;121.28;121.54;118.81;119.04;4759954
AAPL;D;201019;000000;119.96;120.4;115.67;116;4610588
AAPL;D;201020;000000;116.2;118.98;115.65;117.5;4761763
AAPL;D;201021;000000;116.59;118.7;116.5;116.87;4054455
AAPL;D;201022;000000;117.41;118.04;114.59;115.76;4897749
AAPL;D;201023;000000;116.38;116.55;114.29;115.045;4216081
AAPL;D;201026;000000;114;116.54;112.89;115.08;5401826
AAPL;D;201027;000000;115.46;117.27;114.54;116.545;4470865
AAPL;D;201028;000000;115.05;115.43;111.15;111.22;6409665
AAPL;D;201029;000000;112.32;116.92;112.22;114.76;5827054
AAPL;D;201030;000000;111.08;111.98;107.74;109.02;9908947
AAPL;D;201102;000000;109.14;110.66;107.33;108.77;5547023
AAPL;D;201103;000000;109.66;111.46;108.73;110.4;4774282
AAPL;D;201104;000000;114.14;115.58;112.36;114.92;8023981
AAPL;D;201105;000000;118.04;119.62;116.88;118.96;5676264
AAPL;D;201106;000000;118.32;119.19;116.13;118.71;4948971
AAPL;D;201109;000000;120.5;121.98;116.07;116.32;8297617
AAPL;D;201110;000000;115.57;117.58;114.14;115.98;6286448
AAPL;D;201111;000000;117.18;119.62;116.47;119.51;4948778
AAPL;D;201112;000000;119.62;120.52;118.58;119.23;5094436
AAPL;D;201113;000000;119.46;119.67;117.88;119.23;3615233
AAPL;D;201116;000000;118.92;120.99;118.18;120.365;4189521
AAPL;D;201117;000000;119.53;120.67;118.96;119.39;3377163
AAPL;D;201118;000000;118.67;119.81;118;118;3385493
AAPL;D;201119;000000;117.45;119.03;116.81;118.64;3721401
AAPL;D;201120;000000;118.64;118.76;117.3;117.32;3310098
AAPL;D;201123;000000;117.17;117.62;113.755;113.85;5455160
AAPL;D;201124;000000;113.91;115.85;112.59;115.18;5161229
AAPL;D;201125;000000;115.54;116.75;115.18;116.03;3411093
AAPL;D;201127;000000;116.57;117.48;116.22;116.6;2443571
AAPL;D;201130;000000;116.94;120.96;116.82;119.06;7242520
AAPL;D;201201;000000;121.01;123.46;120.015;122.66;6042871
AAPL;D;201202;000000;122.04;123.37;120.89;123.09;3922507
AAPL;D;201203;000000;123.52;123.78;122.23;122.94;3603297
AAPL;D;201204;000000;122.55;122.86;121.52;122.24;3374457
AAPL;D;201207;000000;122.35;124.57;122.25;123.74;4037598
AAPL;D;201208;000000;124.34;124.97;123.1;124.37;4328898
AAPL;D;201209;000000;124.49;125.95;121.07;121.77;5820036
AAPL;D;201210;000000;120.47;123.87;120.16;123.22;3646799
AAPL;D;201211;000000;122.43;122.75;120.555;122.49;4268337
AAPL;D;201214;000000;122.6;123.34;121.55;121.77;3111976
AAPL;D;201215;000000;124.29;127.9;124.14;127.89;8005838
AAPL;D;201216;000000;127.41;128.37;126.56;127.75;4153824
AAPL;D;201217;000000;128.93;129.55;128.05;128.71;4092789
AAPL;D;201218;000000;128.91;129.07;126.125;126.71;5926891
AAPL;D;201221;000000;125.07;128.31;123.45;128.23;5055467
AAPL;D;201222;000000;131.58;134.4;129.66;131.88;8387238
AAPL;D;201223;000000;132.16;132.4;130.79;130.95;3188006
AAPL;D;201224;000000;131.34;133.46;131.1;131.99;2336475
AAPL;D;201228;000000;133.99;137.34;133.52;136.71;5512636
AAPL;D;201229;000000;138.05;138.78;134.36;134.92;5142792
AAPL;D;201230;000000;135.56;135.99;133.4;133.7;4342167
AAPL;D;201231;000000;134.08;134.72;131.725;132.58;4020082
AAPL;D;210104;000000;133.53;133.6;126.77;129.42;5318401
AAPL;D;210105;000000;128.89;131.73;128.45;130.99;3184437
AAPL;D;210106;000000;127.72;131.04;126.39;126.59;6687455
AAPL;D;210107;000000;128.36;131.62;127.88;130.86;4433627
AAPL;D;210108;000000;132.41;132.61;130.23;131.99;4632465
AAPL;D;210111;000000;129.02;130.16;128.5;128.99;4014020
AAPL;D;210112;000000;128.48;129.69;126.87;128.81;3942436
AAPL;D;210113;000000;128.67;131.45;128.5;130.91;4088720
AAPL;D;210114;000000;130.76;130.99;128.79;128.93;4471230
AAPL;D;210115;000000;128.71;130.22;127;127.08;5322420
AAPL;D;210119;000000;127.72;128.7;126.94;127.83;3636939
AAPL;D;210120;000000;128.57;132.48;128.57;131.98;4871596
AAPL;D;210121;000000;133.82;137.33;133.59;136.9;5397365
AAPL;D;210122;000000;136.27;139.85;135.02;138.93;5193638
AAPL;D;210125;000000;143.04;145.09;136.59;142.89;7384304
AAPL;D;210126;000000;143.54;144.3;141.39;143.19;4061697
AAPL;D;210127;000000;143.42;144.3;140.41;142.53;6480555
AAPL;D;210128;000000;139.52;141.98;136.7;137.04;7865620
AAPL;D;210129;000000;135.8;136.72;130.22;131.8;9483858
AAPL;D;210201;000000;133.67;135.38;130.93;134.08;5751151
AAPL;D;210202;000000;135.72;136.29;134.61;134.96;4062039
AAPL;D;210203;000000;135.64;135.67;133.62;133.9;3635817
AAPL;D;210204;000000;136.33;137.4;134.6;137.39;3991718
AAPL;D;210205;000000;137.35;137.4;135.87;136.77;3819087
AAPL;D;210208;000000;136.03;136.95;134.95;136.92;3565563
AAPL;D;210209;000000;136.64;137.87;135.86;136;3775386
AAPL;D;210210;000000;136.48;136.99;134.41;135.34;4138775
AAPL;D;210211;000000;135.92;136.38;133.79;135.12;3663482
AAPL;D;210212;000000;134.35;135.52;133.7;135.39;4033946
AAPL;D;210216;000000;135.48;136;132.82;133.16;4186784
AAPL;D;210217;000000;131.27;132.21;129.47;130.85;5404385
AAPL;D;210218;000000;129.24;129.99;127.41;129.77;5418157
AAPL;D;210219;000000;130.2;130.7;128.8;129.87;5166266
AAPL;D;210222;000000;128.01;129.72;125.6;126.03;5947523
AAPL;D;210223;000000;123.77;126.705;118.4;125.85;9358497
AAPL;D;210224;000000;124.93;125.55;122.24;125.29;6228371
AAPL;D;210225;000000;124.63;126.445;120.55;121;10414296
AAPL;D;210226;000000;122.57;124.85;121.26;121.29;10135340
AAPL;D;210301;000000;123.74;127.93;122.81;127.79;6593339
AAPL;D;210302;000000;128.41;128.71;125.02;125.17;5689279
AAPL;D;210303;000000;124.81;125.71;121.85;122.06;6346420
AAPL;D;210304;000000;121.73;123.6;118.63;120.22;12441541
AAPL;D;210305;000000;120.855;121.93;117.57;121.41;10121445
AAPL;D;210308;000000;120.93;120.99;116.22;116.4;9656063
AAPL;D;210309;000000;119.04;122.06;118.8;121.08;7643386
AAPL;D;210310;000000;121.53;122.17;119.46;119.97;6543276
AAPL;D;210311;000000;122.33;123.2;121.26;121.95;5026958
AAPL;D;210312;000000;120.41;121.16;119.16;121.05;4927547
AAPL;D;210315;000000;121.41;124;120.44;123.99;4090921
AAPL;D;210316;000000;125.67;127.21;124.72;125.58;5892737
AAPL;D;210317;000000;124.08;125.85;122.34;124.82;6467258
AAPL;D;210318;000000;122.88;123.17;120.33;120.53;6210329
AAPL;D;210319;000000;119.89;121.43;119.68;119.86;6076740
AAPL;D;210322;000000;120.31;123.86;120.29;123.37;5314862
AAPL;D;210323;000000;123.3;124.24;122.15;122.54;4506298
AAPL;D;210324;000000;122.83;122.88;120.07;120.08;4524194
AAPL;D;210325;000000;119.54;121.66;119;120.6;5788023
AAPL;D;210326;000000;120.37;121.48;118.93;121.18;4804540
AAPL;D;210329;000000;121.65;122.575;120.73;121.37;4086167
AAPL;D;210330;000000;120.02;120.4;118.87;119.98;4308777
AAPL;D;210331;000000;121.65;123.52;121.16;122.15;6099539
AAPL;D;210401;000000;123.66;124.18;122.5;122.99;3389868
AAPL;D;210405;000000;123.87;126.16;123.08;125.9;4350967
AAPL;D;210406;000000;126.5;127.12;125.65;126.22;3212886
AAPL;D;210407;000000;125.83;127.92;125.15;127.91;3661801
